"District","Year","Observed","Predicted"
16,2006,30.1,162.308522167488
16,2007,46.9,161.594187192118
16,2008,48.3,160.879852216749
16,2009,104.3,160.16551724138
16,2010,189.7,159.45118226601
16,2011,40.1,158.736847290641
16,2012,146.8,158.022512315271
16,2013,408.6,157.308177339902
16,2014,163.3,156.593842364533
16,2015,4,155.879507389163
16,2016,120.7,155.165172413794
16,2017,229.2,154.450837438425
16,2018,293.3,153.736502463055
16,2019,153.6,153.022167487686
16,2020,190.4,152.307832512316
16,2021,132.6,151.593497536947
16,2022,157.7,150.879162561578
16,2023,76,150.164827586208
17,1995,598.2,323.077241379309
17,1996,134.3,319.315566502462
17,1997,23.6,315.553891625615
17,1998,402.6,311.792216748768
17,1999,822.4,308.030541871921
17,2000,68.2,304.268866995074
17,2001,197.8,300.507192118226
17,2002,138.5,296.745517241379
17,2003,636.3,292.983842364532
17,2004,290.3,289.222167487685
17,2005,470.1,285.460492610838
17,2006,33.5,281.698817733991
17,2007,118.4,277.937142857143
17,2008,75,274.175467980296
17,2009,205.5,270.413793103449
17,2010,414.6,266.652118226602
17,2011,13.7,262.890443349755
17,2012,230.3,259.128768472908
17,2013,647,255.367093596061
17,2014,136.1,251.605418719213
17,2015,106.9,247.843743842366
17,2016,232.9,244.082068965519
17,2017,375.1,240.320394088671
17,2018,204.9,236.558719211825
17,2019,350.6,232.797044334978
17,2020,343.6,229.035369458131
17,2021,219.2,225.273694581283
17,2022,219.6,221.512019704436
17,2023,132.8,217.750344827589
18,1995,194.6,151.44275862069
18,1996,26.5,150.035024630542
18,1997,108.8,148.627290640394
18,1998,183.9,147.219556650246
18,1999,386.5,145.811822660099
18,2000,41.1,144.404088669951
18,2001,107.1,142.996354679803
18,2002,30,141.588620689655
18,2003,313.9,140.180886699507
18,2004,101.7,138.77315270936
18,2005,252.7,137.365418719212
18,2006,68.6,135.957684729064
18,2007,77.9,134.549950738916
18,2008,11.6,133.142216748769
18,2009,205.7,131.734482758621
18,2010,110.8,130.326748768473
18,2011,41.9,128.919014778325
18,2012,105.9,127.511280788177
18,2013,368.4,126.10354679803
18,2014,108.9,124.695812807882
18,2015,27.3,123.288078817734
18,2016,62.3,121.880344827587
18,2017,185.1,120.472610837439
18,2018,113.6,119.064876847291
18,2019,162.4,117.657142857143
18,2020,81.4,116.249408866996
18,2021,116,114.841674876848
18,2022,87.4,113.4339408867
18,2023,138.3,112.026206896552
19,1995,425.2,247.916551724137
19,1996,72.3,245.889014778324
19,1997,46.1,243.861477832511
19,1998,330.6,241.833940886699
19,1999,591.7,239.806403940886
19,2000,37,237.778866995073
19,2001,266.8,235.751330049261
19,2002,75.8,233.723793103448
19,2003,529.6,231.696256157635
19,2004,227.2,229.668719211822
19,2005,259.6,227.64118226601
19,2006,68,225.613645320197
19,2007,86.7,223.586108374384
19,2008,43.1,221.558571428572
19,2009,200.2,219.531034482759
19,2010,301.5,217.503497536946
19,2011,23.2,215.475960591134
19,2012,244,213.448423645321
19,2013,696.1,211.420886699508
19,2014,142.7,209.393349753695
19,2015,48.1,207.365812807883
19,2016,91.3,205.33827586207
19,2017,309.3,203.310738916257
19,2018,235,201.283201970444
19,2019,330.3,199.255665024632
19,2020,271.8,197.228128078819
19,2021,180.4,195.200591133006
19,2022,157.6,193.173054187194
19,2023,75.2,191.145517241381
20,1995,152.7,117.162068965516
20,1996,50.9,118.599507389162
20,1997,109.7,120.036945812807
20,1998,279.1,121.474384236452
20,1999,86.1,122.911822660098
20,2000,30.5,124.349261083743
20,2001,91,125.786699507389
20,2002,90.6,127.224137931034
20,2003,186.2,128.661576354679
20,2004,156.1,130.099014778325
20,2005,218.3,131.53645320197
20,2006,60.5,132.973891625615
20,2007,158.2,134.41133004926
20,2008,50.9,135.848768472906
20,2009,114.8,137.286206896551
20,2010,230.4,138.723645320197
20,2011,12.9,140.161083743842
20,2012,137.7,141.598522167487
20,2013,298.6,143.035960591133
20,2014,205.4,144.473399014778
20,2015,40,145.910837438423
20,2016,100.4,147.348275862069
20,2017,210.1,148.785714285714
20,2018,27.8,150.22315270936
20,2019,273,151.660591133005
20,2020,216.4,153.09802955665
20,2021,139,154.535467980295
20,2022,177.5,155.972906403941
20,2023,76.5,157.410344827586
21,1995,108.2,121.251724137931
21,1996,48.2,121.492118226601
21,1997,65.6,121.732512315271
21,1998,332.3,121.972906403941
21,1999,123.9,122.213300492611
21,2000,32.6,122.453694581281
21,2001,26.1,122.694088669951
21,2002,83.6,122.934482758621
21,2003,139.9,123.174876847291
21,2004,189.1,123.415270935961
21,2005,194,123.655665024631
21,2006,93.9,123.8960591133
21,2007,380.9,124.13645320197
21,2008,23.7,124.37684729064
21,2009,48.4,124.61724137931
21,2010,130.2,124.85763546798
21,2011,27.2,125.09802955665
21,2012,102.6,125.33842364532
21,2013,167.3,125.57881773399
21,2014,203.3,125.81921182266
21,2015,63.5,126.05960591133
21,2016,120.4,126.3
21,2017,177.9,126.54039408867
21,2018,58.5,126.78078817734
21,2019,173.5,127.02118226601
21,2020,214.7,127.26157635468
21,2021,171.4,127.50197044335
21,2022,60.7,127.74236453202
21,2023,52.3,127.98275862069
22,1995,299,166.903448275861
22,1996,60.4,165.736945812807
22,1997,81.7,164.570443349753
22,1998,181.4,163.403940886699
22,1999,290.5,162.237438423645
22,2000,36,161.07093596059
22,2001,187.3,159.904433497537
22,2002,74,158.737931034482
22,2003,329,157.571428571428
22,2004,155.2,156.404926108374
22,2005,301.9,155.23842364532
22,2006,47.2,154.071921182266
22,2007,75.3,152.905418719212
22,2008,23.8,151.738916256158
22,2009,194.5,150.572413793103
22,2010,93.3,149.40591133005
22,2011,17.9,148.239408866995
22,2012,77.7,147.072906403941
22,2013,574.8,145.906403940887
22,2014,87.8,144.739901477833
22,2015,15.1,143.573399014779
22,2016,97.5,142.406896551724
22,2017,223.9,141.240394088671
22,2018,154.1,140.073891625616
22,2019,197.9,138.907389162562
22,2020,133.1,137.740886699508
22,2021,132.8,136.574384236454
22,2022,119.3,135.4078817734
22,2023,104.2,134.241379310346
23,1995,100.8,101.931034482759
23,1996,35.1,101.287192118227
23,1997,83.3,100.643349753695
23,1998,217.5,99.9995073891628
23,1999,81.7,99.3556650246308
23,2000,3.7,98.7118226600987
23,2001,57.4,98.0679802955667
23,2002,30,97.4241379310347
23,2003,184.2,96.7802955665027
23,2004,149.6,96.1364532019707
23,2005,108.4,95.4926108374386
23,2006,69.4,94.8487684729066
23,2007,83.9,94.2049261083746
23,2008,26.4,93.5610837438426
23,2009,100.4,92.9172413793106
23,2010,282.3,92.2733990147785
23,2011,0.7,91.6295566502465
23,2012,109.5,90.9857142857145
23,2013,263.7,90.3418719211825
23,2014,98.9,89.6980295566505
23,2015,13.2,89.0541871921184
23,2016,124.5,88.4103448275864
23,2017,93.5,87.7665024630544
23,2018,5.2,87.1226600985224
23,2019,95.1,86.4788177339904
23,2020,111.3,85.8349753694583
23,2021,82.1,85.1911330049263
23,2022,65.4,84.5472906403943
23,2023,17.4,83.9034482758623
24,1995,300.4,150.293103448274
24,1996,67.3,151.909113300491
24,1997,22,153.525123152708
24,1998,163.2,155.141133004925
24,1999,343.4,156.757142857142
24,2000,11.8,158.373152709359
24,2001,170.5,159.989162561576
24,2002,43.7,161.605172413792
24,2003,346.7,163.221182266009
24,2004,199.1,164.837192118226
24,2005,225.6,166.453201970443
24,2006,18.5,168.06921182266
24,2007,57.4,169.685221674877
24,2008,2.2,171.301231527093
24,2009,182.7,172.91724137931
24,2010,221.3,174.533251231527
24,2011,15,176.149261083744
24,2012,241,177.765270935961
24,2013,739.4,179.381280788178
24,2014,162.8,180.997290640395
24,2015,42.7,182.613300492611
24,2016,88.6,184.229310344828
24,2017,231.2,185.845320197045
24,2018,234.5,187.461330049262
24,2019,254.5,189.077339901479
24,2020,201.7,190.693349753696
24,2021,187.2,192.309359605913
24,2022,174.4,193.925369458129
24,2023,65.8,195.541379310346
25,1995,115.3,66.7841379310344
25,1996,23.5,66.0712315270935
25,1997,49.9,65.3583251231528
25,1998,145.9,64.6454187192119
25,1999,55.4,63.932512315271
25,2000,1.6,63.2196059113301
25,2001,22.5,62.5066995073892
25,2002,12.6,61.7937931034485
25,2003,169.8,61.0808866995076
25,2004,70.4,60.3679802955667
25,2005,51.5,59.6550738916258
25,2006,15.2,58.9421674876849
25,2007,22.9,58.2292610837439
25,2008,14.9,57.5163546798033
25,2009,91.3,56.8034482758624
25,2010,82.7,56.0905418719215
25,2011,0,55.3776354679806
25,2012,80.7,54.6647290640396
25,2013,151.3,53.951822660099
25,2014,59.9,53.2389162561581
25,2015,2,52.5260098522172
25,2016,63.9,51.8131034482763
25,2017,114.6,51.1001970443353
25,2018,0,50.3872906403944
25,2019,69.3,49.6743842364538
25,2020,84.2,48.9614778325129
25,2021,25.7,48.2485714285719
25,2022,41.5,47.535665024631
25,2023,8.8,46.8227586206901
26,1995,497.8,272.38344827586
26,1996,90.7,270.134137931033
26,1997,32.2,267.884827586206
26,1998,416.8,265.635517241378
26,1999,614.8,263.386206896551
26,2000,93.6,261.136896551723
26,2001,199.3,258.887586206895
26,2002,110.2,256.638275862068
26,2003,462.4,254.388965517241
26,2004,214.9,252.139655172414
26,2005,386.2,249.890344827586
26,2006,104.3,247.641034482758
26,2007,94.8,245.391724137931
26,2008,74.5,243.142413793104
26,2009,192.2,240.893103448276
26,2010,406.9,238.643793103449
26,2011,4,236.394482758621
26,2012,296.2,234.145172413793
26,2013,653.9,231.895862068966
26,2014,88.5,229.646551724139
26,2015,68.2,227.397241379311
26,2016,116.9,225.147931034484
26,2017,410.5,222.898620689656
26,2018,234.2,220.649310344828
26,2019,362.3,218.400000000001
26,2020,298.4,216.150689655174
26,2021,126,213.901379310347
26,2022,210.8,211.652068965519
26,2023,124.4,209.402758620691
27,1995,510.1,153.575172413791
27,1996,54.8,152.470049261081
27,1997,36.6,151.364926108372
