"Sl. No.","District","Year","Precipitation","Predicted"
7,"Cuttack",2012,267.8,202.537980295567
7,"Cuttack",2013,587.1,202.040295566503
7,"Cuttack",2014,192.8,201.542610837439
7,"Cuttack",2015,46.7,201.044926108375
7,"Cuttack",2016,114.7,200.547241379311
7,"Cuttack",2017,286.2,200.049556650247
7,"Cuttack",2018,270.3,199.551871921183
7,"Cuttack",2019,312.5,199.054187192119
7,"Cuttack",2020,229.9,198.556502463055
7,"Cuttack",2021,149.5,198.058817733991
7,"Cuttack",2022,189.5,197.561133004927
7,"Cuttack",2023,103.8,197.063448275863
8,"Deogarh",1995,150.8,85.9751724137925
8,"Deogarh",1996,45,86.1525615763541
8,"Deogarh",1997,85.6,86.3299507389157
8,"Deogarh",1998,196,86.5073399014773
8,"Deogarh",1999,101.3,86.684729064039
8,"Deogarh",2000,8.9,86.8621182266006
8,"Deogarh",2001,69.1,87.0395073891622
8,"Deogarh",2002,13.5,87.2168965517238
8,"Deogarh",2003,212.9,87.3942857142854
8,"Deogarh",2004,58.2,87.5716748768471
8,"Deogarh",2005,137.6,87.7490640394087
8,"Deogarh",2006,30.7,87.9264532019703
8,"Deogarh",2007,30.5,88.1038423645319
8,"Deogarh",2008,9.9,88.2812315270936
8,"Deogarh",2009,114.2,88.4586206896552
8,"Deogarh",2010,35.7,88.6360098522168
8,"Deogarh",2011,42.1,88.8133990147784
8,"Deogarh",2012,120.6,88.99078817734
8,"Deogarh",2013,276.6,89.1681773399016
8,"Deogarh",2014,57.5,89.3455665024632
8,"Deogarh",2015,12.7,89.5229556650248
8,"Deogarh",2016,47.9,89.7003448275864
8,"Deogarh",2017,67,89.8777339901481
8,"Deogarh",2018,50.2,90.0551231527097
8,"Deogarh",2019,138.9,90.2325123152713
8,"Deogarh",2020,136.4,90.4099014778329
8,"Deogarh",2021,119.2,90.5872906403945
8,"Deogarh",2022,81.2,90.7646798029562
8,"Deogarh",2023,115.1,90.9420689655178
9,"Dhenkanal",1995,289.1,156.210344827585
9,"Dhenkanal",1996,47.4,155.495566502462
9,"Dhenkanal",1997,17.8,154.780788177339
9,"Dhenkanal",1998,119.7,154.066009852216
9,"Dhenkanal",1999,450.6,153.351231527093
